Language, Program, PowerLimit, Package, Core(s), Time (ms), Temperature, Memory
C, fibonacci_linear_O0_40, 2, 0.041564941406250000, 0.016479492187500000, 18, 40.8, 1536
C, fibonacci_linear_O0_40, 2, 0.069030761718750000, 0.028930664062500000, 21, 40.8, 1536
C, fibonacci_linear_O0_40, 2, 0.071166992187500000, 0.025390625000000000, 21, 40.8, 1536
C, fibonacci_linear_O0_40, 2, 0.066955566406250000, 0.021972656250000000, 19, 40.8, 1536
C, fibonacci_linear_O0_40, 2, 0.050598144531250000, 0.021850585937500000, 19, 40.8, 1536
C, fibonacci_linear_O0_40, 2, 0.045471191406250000, 0.019958496093750000, 17, 40.8, 1536
C, fibonacci_linear_O0_40, 2, 0.048583984375000000, 0.022460937500000000, 18, 41.5, 1536
C, fibonacci_linear_O0_40, 2, 0.030456542968750000, 0.017700195312500000, 8, 41.0, 1536
C, fibonacci_linear_O0_40, 2, 0.042419433593750000, 0.016784667968750000, 17, 41.0, 1536
C, fibonacci_linear_O0_40, 2, 0.044921875000000000, 0.017272949218750000, 18, 41.0, 1536
C, fibonacci_linear_O2_40, 2, 0.028259277343750000, 0.013244628906250000, 8, 40.8, 1536
C, fibonacci_linear_O2_40, 2, 0.078796386718750000, 0.028747558593750000, 21, 40.8, 1536
C, fibonacci_linear_O2_40, 2, 0.086120605468750000, 0.032653808593750000, 23, 40.8, 1536
C, fibonacci_linear_O2_40, 2, 0.055358886718750000, 0.027099609375000000, 20, 40.8, 1536
C, fibonacci_linear_O2_40, 2, 0.091735839843750000, 0.033874511718750000, 24, 40.8, 1536
C, fibonacci_linear_O2_40, 2, 0.072387695312500000, 0.031127929687500000, 22, 40.8, 1536
C, fibonacci_linear_O2_40, 2, 0.068176269531250000, 0.030822753906250000, 26, 40.8, 1536
C, fibonacci_linear_O2_40, 2, 0.082946777343750000, 0.043518066406250000, 29, 41.8, 1536
C, fibonacci_linear_O2_40, 2, 0.036071777343750000, 0.020568847656250000, 9, 41.0, 1536
C, fibonacci_linear_O2_40, 2, 0.074523925781250000, 0.027832031250000000, 21, 41.0, 1536
C, fibonacci_recursive_O0_40, 2, 19.598999023437500000, 7.712341308593750000, 9052, 40.5, 1408
C, fibonacci_recursive_O0_40, 2, 19.174255371093750000, 7.537170410156250000, 8932, 40.5, 1408
C, fibonacci_recursive_O0_40, 2, 22.042358398437500000, 9.427673339843750000, 9585, 40.2, 1408
C, fibonacci_recursive_O0_40, 2, 20.964172363281250000, 8.643981933593750000, 9435, 40.8, 1536
C, fibonacci_recursive_O0_40, 2, 19.869262695312500000, 7.857177734375000000, 9212, 40.2, 1408
C, fibonacci_recursive_O0_40, 2, 18.479248046875000000, 7.378723144531250000, 8718, 39.8, 1408
C, fibonacci_recursive_O0_40, 2, 19.136962890625000000, 7.619201660156250000, 8925, 40.2, 1408
C, fibonacci_recursive_O0_40, 2, 18.416076660156250000, 7.347961425781250000, 8772, 39.8, 1408
C, fibonacci_recursive_O0_40, 2, 18.996337890625000000, 7.553833007812500000, 8969, 39.5, 1408
C, fibonacci_recursive_O0_40, 2, 22.135681152343750000, 9.006408691406250000, 9926, 39.8, 1408
C, fibonacci_recursive_O2_40, 2, 9.450744628906250000, 4.026123046875000000, 4118, 39.8, 1408
C, fibonacci_recursive_O2_40, 2, 4.571899414062500000, 1.681396484375000000, 2252, 39.2, 1536
C, fibonacci_recursive_O2_40, 2, 6.390502929687500000, 2.525085449218750000, 2893, 39.8, 1536
C, fibonacci_recursive_O2_40, 2, 10.202880859375000000, 4.286010742187500000, 4469, 39.2, 1536
C, fibonacci_recursive_O2_40, 2, 7.208068847656250000, 2.431945800781250000, 3736, 39.2, 1408
C, fibonacci_recursive_O2_40, 2, 9.911682128906250000, 4.223876953125000000, 4319, 39.8, 1408
C, fibonacci_recursive_O2_40, 2, 7.036926269531250000, 2.309509277343750000, 3633, 39.8, 1408
C, fibonacci_recursive_O2_40, 2, 8.683715820312500000, 3.454101562500000000, 3942, 39.8, 1408
C, fibonacci_recursive_O2_40, 2, 8.529785156250000000, 3.107360839843750000, 4156, 39.2, 1408
C, fibonacci_recursive_O2_40, 2, 8.052246093750000000, 3.057983398437500000, 3882, 39.5, 1408
C, fibonacci_linear_O0_40, 12, 0.122131347656250000, 0.043884277343750000, 33, 39.5, 1536
C, fibonacci_linear_O0_40, 12, 0.080810546875000000, 0.030029296875000000, 25, 39.5, 1408
C, fibonacci_linear_O0_40, 12, 0.094787597656250000, 0.035522460937500000, 29, 39.5, 1536
C, fibonacci_linear_O0_40, 12, 0.052978515625000000, 0.023254394531250000, 20, 39.5, 1536
C, fibonacci_linear_O0_40, 12, 0.048095703125000000, 0.023498535156250000, 19, 39.5, 1536
C, fibonacci_linear_O0_40, 12, 0.048400878906250000, 0.032714843750000000, 12, 39.5, 1536
C, fibonacci_linear_O0_40, 12, 0.056213378906250000, 0.035034179687500000, 13, 39.5, 1408
C, fibonacci_linear_O0_40, 12, 0.050292968750000000, 0.022277832031250000, 10, 40.0, 1536
C, fibonacci_linear_O0_40, 12, 0.068969726562500000, 0.025817871093750000, 10, 40.0, 1536
C, fibonacci_linear_O0_40, 12, 0.039123535156250000, 0.015319824218750000, 8, 40.0, 1536
C, fibonacci_linear_O2_40, 12, 0.069152832031250000, 0.027221679687500000, 11, 40.0, 1536
C, fibonacci_linear_O2_40, 12, 0.058105468750000000, 0.021667480468750000, 10, 40.0, 1536
C, fibonacci_linear_O2_40, 12, 0.046020507812500000, 0.020080566406250000, 9, 40.0, 1536
C, fibonacci_linear_O2_40, 12, 0.043273925781250000, 0.016357421875000000, 8, 40.0, 1536
C, fibonacci_linear_O2_40, 12, 0.039245605468750000, 0.017456054687500000, 9, 40.0, 1536
C, fibonacci_linear_O2_40, 12, 0.051269531250000000, 0.023986816406250000, 10, 40.0, 1536
C, fibonacci_linear_O2_40, 12, 0.048522949218750000, 0.024841308593750000, 9, 40.0, 1536
C, fibonacci_linear_O2_40, 12, 0.028381347656250000, 0.016174316406250000, 8, 39.8, 1536
C, fibonacci_linear_O2_40, 12, 0.039672851562500000, 0.021362304687500000, 8, 39.8, 1536
C, fibonacci_linear_O2_40, 12, 0.037292480468750000, 0.017211914062500000, 9, 39.8, 1536
C, fibonacci_recursive_O0_40, 12, 11.065979003906250000, 6.088623046875000000, 3863, 40.0, 1536
C, fibonacci_recursive_O0_40, 12, 13.871704101562500000, 7.774047851562500000, 4541, 40.0, 1408
C, fibonacci_recursive_O0_40, 12, 10.257141113281250000, 5.187255859375000000, 3767, 40.2, 1408
C, fibonacci_recursive_O0_40, 12, 13.825134277343750000, 7.258728027343750000, 4162, 40.5, 1408
C, fibonacci_recursive_O0_40, 12, 9.788146972656250000, 4.927734375000000000, 3575, 40.2, 1536
C, fibonacci_recursive_O0_40, 12, 12.350708007812500000, 6.602050781250000000, 4124, 40.2, 1408
C, fibonacci_recursive_O0_40, 12, 10.839172363281250000, 5.821472167968750000, 3811, 41.0, 1408
C, fibonacci_recursive_O0_40, 12, 10.397155761718750000, 5.442687988281250000, 3706, 40.0, 1536
C, fibonacci_recursive_O0_40, 12, 12.182495117187500000, 6.651062011718750000, 4043, 40.5, 1408
C, fibonacci_recursive_O0_40, 12, 9.758544921875000000, 4.754577636718750000, 3727, 40.2, 1536
C, fibonacci_recursive_O2_40, 12, 3.026367187500000000, 1.453125000000000000, 1154, 40.0, 1408
C, fibonacci_recursive_O2_40, 12, 4.122863769531250000, 2.042419433593750000, 1480, 40.0, 1408
C, fibonacci_recursive_O2_40, 12, 3.690429687500000000, 1.567932128906250000, 1582, 39.8, 1536
C, fibonacci_recursive_O2_40, 12, 5.431030273437500000, 2.867309570312500000, 1783, 41.2, 1408
C, fibonacci_recursive_O2_40, 12, 3.871276855468750000, 1.742492675781250000, 1540, 39.8, 1536
C, fibonacci_recursive_O2_40, 12, 3.891113281250000000, 1.672302246093750000, 1638, 40.0, 1536
C, fibonacci_recursive_O2_40, 12, 4.277526855468750000, 2.183837890625000000, 1542, 40.8, 1536
C, fibonacci_recursive_O2_40, 12, 8.357727050781250000, 4.195556640625000000, 2097, 41.0, 1408
C, fibonacci_recursive_O2_40, 12, 6.511779785156250000, 2.819519042968750000, 1645, 40.8, 1408
C, fibonacci_recursive_O2_40, 12, 5.690368652343750000, 2.568237304687500000, 1591, 41.2, 1536
C, fibonacci_linear_O0_40, 20, 0.054809570312500000, 0.027709960937500000, 11, 40.8, 1536
C, fibonacci_linear_O0_40, 20, 0.054748535156250000, 0.024963378906250000, 10, 40.8, 1536
C, fibonacci_linear_O0_40, 20, 0.061767578125000000, 0.027954101562500000, 12, 40.8, 1536
C, fibonacci_linear_O0_40, 20, 0.064208984375000000, 0.028869628906250000, 12, 40.8, 1536
C, fibonacci_linear_O0_40, 20, 0.090148925781250000, 0.038269042968750000, 18, 40.8, 1536
C, fibonacci_linear_O0_40, 20, 0.056335449218750000, 0.026855468750000000, 11, 40.8, 1536
C, fibonacci_linear_O0_40, 20, 0.049804687500000000, 0.021057128906250000, 9, 40.8, 1536
C, fibonacci_linear_O0_40, 20, 0.045532226562500000, 0.027954101562500000, 12, 40.8, 1536
C, fibonacci_linear_O0_40, 20, 0.041320800781250000, 0.026000976562500000, 10, 40.8, 1536
C, fibonacci_linear_O0_40, 20, 0.101745605468750000, 0.058349609375000000, 21, 40.8, 1536
C, fibonacci_linear_O2_40, 20, 0.043518066406250000, 0.023864746093750000, 9, 41.0, 1536
C, fibonacci_linear_O2_40, 20, 0.063781738281250000, 0.026428222656250000, 10, 41.0, 1536
C, fibonacci_linear_O2_40, 20, 0.073242187500000000, 0.032958984375000000, 11, 41.0, 1536
C, fibonacci_linear_O2_40, 20, 0.048767089843750000, 0.021484375000000000, 9, 41.0, 1536
C, fibonacci_linear_O2_40, 20, 0.068969726562500000, 0.027770996093750000, 11, 41.0, 1536
C, fibonacci_linear_O2_40, 20, 0.046813964843750000, 0.021728515625000000, 10, 41.0, 1536
C, fibonacci_linear_O2_40, 20, 0.044189453125000000, 0.017883300781250000, 9, 41.0, 1536
C, fibonacci_linear_O2_40, 20, 0.045532226562500000, 0.021179199218750000, 9, 41.0, 1536
C, fibonacci_linear_O2_40, 20, 0.049377441406250000, 0.019714355468750000, 8, 41.0, 1536
C, fibonacci_linear_O2_40, 20, 0.043640136718750000, 0.019653320312500000, 9, 41.0, 1536
C, fibonacci_recursive_O0_40, 20, 19.630737304687500000, 8.666992187500000000,5064, 41.5, 1408
C, fibonacci_recursive_O0_40, 20, 18.637817382812500000, 8.858947753906250000,4860, 41.5, 1408
C, fibonacci_recursive_O0_40, 20, 10.016906738281250000, 4.964294433593750000,3777, 41.0, 1536
C, fibonacci_recursive_O0_40, 20, 16.743896484375000000, 8.648498535156250000,4588, 41.0, 1408
C, fibonacci_recursive_O0_40, 20, 10.898254394531250000, 5.398864746093750000,3953, 41.8, 1408
C, fibonacci_recursive_O0_40, 20, 14.031494140625000000, 7.438659667968750000,4627, 41.5, 1408
C, fibonacci_recursive_O0_40, 20, 15.735778808593750000, 7.509094238281250000,4359, 41.2, 1536
C, fibonacci_recursive_O0_40, 20, 10.897644042968750000, 5.535339355468750000,3996, 41.8, 1408
C, fibonacci_recursive_O0_40, 20, 10.325317382812500000, 5.049560546875000000,3828, 41.2, 1408
C, fibonacci_recursive_O0_40, 20, 10.100646972656250000, 5.001708984375000000,3810, 42.0, 1408
C, fibonacci_recursive_O2_40, 20, 3.556152343750000000, 1.622741699218750000, 1386, 40.8, 1536
C, fibonacci_recursive_O2_40, 20, 5.891967773437500000, 2.637756347656250000, 1808, 40.8, 1408
C, fibonacci_recursive_O2_40, 20, 5.953308105468750000, 3.326782226562500000, 1890, 41.8, 1408
C, fibonacci_recursive_O2_40, 20, 4.143066406250000000, 1.896606445312500000, 1563, 41.5, 1408
C, fibonacci_recursive_O2_40, 20, 4.055603027343750000, 1.788635253906250000, 1622, 41.5, 1536
C, fibonacci_recursive_O2_40, 20, 3.534179687500000000, 1.541748046875000000, 1477, 40.8, 1536
C, fibonacci_recursive_O2_40, 20, 3.739929199218750000, 1.678894042968750000, 1424, 40.8, 1536
C, fibonacci_recursive_O2_40, 20, 5.555114746093750000, 3.050109863281250000, 1723, 41.8, 1536
C, fibonacci_recursive_O2_40, 20, 3.663574218750000000, 1.570190429687500000, 1563, 41.0, 1536
C, fibonacci_recursive_O2_40, 20, 4.020385742187500000, 1.782287597656250000, 1609, 41.0, 1408
C, fibonacci_linear_O0_40, 8, 0.084655761718750000, 0.027954101562500000, 13, 42.0, 1536
C, fibonacci_linear_O0_40, 8, 0.045227050781250000, 0.023620605468750000, 9, 42.0, 1536
C, fibonacci_linear_O0_40, 8, 0.052856445312500000, 0.020629882812500000, 9, 42.0, 1536
C, fibonacci_linear_O0_40, 8, 0.058227539062500000, 0.023437500000000000, 10, 42.0, 1536
C, fibonacci_linear_O0_40, 8, 0.041809082031250000, 0.015808105468750000, 8, 42.0, 1536
C, fibonacci_linear_O0_40, 8, 0.053100585937500000, 0.021789550781250000, 9, 42.0, 1536
C, fibonacci_linear_O0_40, 8, 0.064758300781250000, 0.031677246093750000, 11, 42.0, 1536
C, fibonacci_linear_O0_40, 8, 0.060791015625000000, 0.027465820312500000, 11, 42.0, 1536
C, fibonacci_linear_O0_40, 8, 0.052490234375000000, 0.019409179687500000, 10, 42.0, 1536
C, fibonacci_linear_O0_40, 8, 0.066101074218750000, 0.025573730468750000, 10, 42.0, 1536
C, fibonacci_linear_O2_40, 8, 0.047607421875000000, 0.021728515625000000, 10, 42.0, 1536
C, fibonacci_linear_O2_40, 8, 0.028930664062500000, 0.016906738281250000, 8, 42.0, 1536
C, fibonacci_linear_O2_40, 8, 0.030822753906250000, 0.019897460937500000, 8, 42.0, 1536
C, fibonacci_linear_O2_40, 8, 0.074951171875000000, 0.029541015625000000, 11, 42.0, 1536
C, fibonacci_linear_O2_40, 8, 0.052917480468750000, 0.021179199218750000, 10, 42.0, 1536
C, fibonacci_linear_O2_40, 8, 0.037597656250000000, 0.016479492187500000, 8, 42.0, 1536
C, fibonacci_linear_O2_40, 8, 0.040466308593750000, 0.016784667968750000, 8, 42.0, 1536
C, fibonacci_linear_O2_40, 8, 0.041992187500000000, 0.015197753906250000, 8, 42.0, 1536
C, fibonacci_linear_O2_40, 8, 0.077087402343750000, 0.025634765625000000, 11, 42.0, 1536
C, fibonacci_linear_O2_40, 8, 0.036437988281250000, 0.014404296875000000, 8, 42.0, 1536
C, fibonacci_recursive_O0_40, 8, 9.418273925781250000, 4.825622558593750000, 3462, 41.8, 1536
C, fibonacci_recursive_O0_40, 8, 12.529479980468750000, 7.030822753906250000, 3979, 42.0, 1408
C, fibonacci_recursive_O0_40, 8, 10.669189453125000000, 5.784851074218750000, 3709, 42.5, 1408
C, fibonacci_recursive_O0_40, 8, 11.567993164062500000, 6.142578125000000000, 4023, 42.0, 1408
C, fibonacci_recursive_O0_40, 8, 12.790405273437500000, 7.061340332031250000, 4289, 42.0, 1408
C, fibonacci_recursive_O0_40, 8, 11.076293945312500000, 5.607299804687500000, 3918, 41.5, 1408
C, fibonacci_recursive_O0_40, 8, 12.748657226562500000, 7.297790527343750000, 4023, 42.0, 1408
C, fibonacci_recursive_O0_40, 8, 11.021972656250000000, 5.866027832031250000, 3795, 42.2, 1408
