Language, Program, PowerLimit, Package, Core(s), Time (ms), Temperature, Memory
C, fibonacci_linear_O0_40, 13, 0.045593261718750000, 0.018798828125000000, 9, 43.0, 1536
C, fibonacci_linear_O0_40, 13, 0.049865722656250000, 0.019287109375000000, 9, 43.0, 1536
C, fibonacci_linear_O0_40, 13, 0.051696777343750000, 0.020202636718750000, 9, 43.0, 1536
C, fibonacci_linear_O0_40, 13, 0.045166015625000000, 0.016906738281250000, 8, 43.0, 1536
C, fibonacci_linear_O0_40, 13, 0.049865722656250000, 0.021423339843750000, 9, 43.0, 1536
C, fibonacci_linear_O0_40, 13, 0.040771484375000000, 0.019470214843750000, 8, 43.0, 1536
C, fibonacci_linear_O0_40, 13, 0.065185546875000000, 0.026184082031250000, 10, 43.0, 1536
C, fibonacci_linear_O0_40, 13, 0.043029785156250000, 0.017211914062500000, 8, 43.0, 1536
C, fibonacci_linear_O0_40, 13, 0.044433593750000000, 0.016967773437500000, 8, 43.0, 1536
C, fibonacci_linear_O0_40, 13, 0.045104980468750000, 0.019104003906250000, 9, 43.0, 1536
C, fibonacci_linear_O2_40, 13, 0.033569335937500000, 0.018066406250000000, 8, 43.0, 1536
C, fibonacci_linear_O2_40, 13, 0.028808593750000000, 0.016906738281250000, 7, 43.0, 1536
C, fibonacci_linear_O2_40, 13, 0.071289062500000000, 0.030517578125000000, 12, 43.0, 1536
C, fibonacci_linear_O2_40, 13, 0.070739746093750000, 0.026672363281250000, 12, 43.0, 1536
C, fibonacci_linear_O2_40, 13, 0.035827636718750000, 0.017578125000000000, 9, 43.0, 1536
C, fibonacci_linear_O2_40, 13, 0.042053222656250000, 0.017395019531250000, 9, 43.0, 1536
C, fibonacci_linear_O2_40, 13, 0.047790527343750000, 0.020324707031250000, 9, 43.0, 1536
C, fibonacci_linear_O2_40, 13, 0.049133300781250000, 0.023193359375000000, 10, 43.0, 1536
C, fibonacci_linear_O2_40, 13, 0.033203125000000000, 0.016662597656250000, 8, 43.0, 1536
C, fibonacci_linear_O2_40, 13, 0.037231445312500000, 0.019409179687500000, 8, 43.0, 1536
C, fibonacci_recursive_O0_40, 13, 9.680297851562500000, 5.220947265625000000, 3357, 42.5, 1408
C, fibonacci_recursive_O0_40, 13, 12.403686523437500000, 6.756042480468750000, 4170, 42.5, 1408
C, fibonacci_recursive_O0_40, 13, 9.817932128906250000, 5.270568847656250000, 3376, 42.8, 1408
C, fibonacci_recursive_O0_40, 13, 12.806274414062500000, 7.010803222656250000, 4194, 42.2, 1408
C, fibonacci_recursive_O0_40, 13, 12.267700195312500000, 6.744812011718750000, 4074, 43.2, 1536
C, fibonacci_recursive_O0_40, 13, 9.947937011718750000, 5.307067871093750000, 3530, 43.0, 1408
C, fibonacci_recursive_O0_40, 13, 12.526428222656250000, 7.192565917968750000, 3954, 43.0, 1408
C, fibonacci_recursive_O0_40, 13, 10.665344238281250000, 5.738342285156250000, 3601, 43.0, 1536
C, fibonacci_recursive_O0_40, 13, 15.045593261718750000, 8.671203613281250000, 4415, 42.0, 1408
C, fibonacci_recursive_O0_40, 13, 10.845947265625000000, 5.629821777343750000, 3732, 43.2, 1536
C, fibonacci_recursive_O2_40, 13, 3.384399414062500000, 1.765869140625000000, 1199, 42.2, 1408
C, fibonacci_recursive_O2_40, 13, 3.676452636718750000, 1.859741210937500000, 1296, 42.2, 1536
C, fibonacci_recursive_O2_40, 13, 4.180175781250000000, 1.963745117187500000, 1483, 42.2, 1408
C, fibonacci_recursive_O2_40, 13, 6.378967285156250000, 3.692199707031250000, 1929, 43.0, 1408
C, fibonacci_recursive_O2_40, 13, 6.722961425781250000, 3.324645996093750000, 1684, 42.5, 1408
C, fibonacci_recursive_O2_40, 13, 4.048828125000000000, 1.972961425781250000, 1348, 42.5, 1408
C, fibonacci_recursive_O2_40, 13, 3.970886230468750000, 1.845397949218750000, 1411, 43.0, 1408
C, fibonacci_recursive_O2_40, 13, 5.060974121093750000, 2.744201660156250000, 1583, 43.0, 1536
C, fibonacci_recursive_O2_40, 13, 5.805664062500000000, 3.164001464843750000, 1761, 42.5, 1408
C, fibonacci_recursive_O2_40, 13, 3.926452636718750000, 1.893859863281250000, 1426, 42.2, 1408
