Language, Program, PowerLimit, Package, Core(s), Time (ms), Temperature, Memory
C, fibonacci_linear_O0_10, 13, 0.154357910156250000, 0.113342285156250000, 10, 61.0, 1536
C, fibonacci_linear_O0_10, 13, 0.082946777343750000, 0.047363281250000000, 5, 61.0, 1536
C, fibonacci_linear_O0_10, 13, 0.038146972656250000, 0.025878906250000000, 2, 61.0, 1536
C, fibonacci_linear_O0_10, 13, 0.045349121093750000, 0.039611816406250000, 2, 61.0, 1536
C, fibonacci_linear_O0_10, 13, 0.054626464843750000, 0.043823242187500000, 3, 61.0, 1536
C, fibonacci_linear_O0_10, 13, 0.052734375000000000, 0.039245605468750000, 2, 61.0, 1536
C, fibonacci_linear_O0_10, 13, 0.076904296875000000, 0.055603027343750000, 4, 61.0, 1536
C, fibonacci_linear_O0_10, 13, 0.032165527343750000, 0.034362792968750000, 2, 61.0, 1536
C, fibonacci_linear_O0_10, 13, 0.055053710937500000, 0.052978515625000000, 3, 61.0, 1536
C, fibonacci_linear_O0_10, 13, 0.048767089843750000, 0.031372070312500000, 2, 61.0, 1536
C, fibonacci_linear_O2_10, 13, 0.031005859375000000, 0.029724121093750000, 2, 61.0, 1536
C, fibonacci_linear_O2_10, 13, 0.032653808593750000, 0.030639648437500000, 2, 61.0, 1536
C, fibonacci_linear_O2_10, 13, 0.051696777343750000, 0.038391113281250000, 4, 61.0, 1536
C, fibonacci_linear_O2_10, 13, 0.044555664062500000, 0.028381347656250000, 2, 61.0, 1536
C, fibonacci_linear_O2_10, 13, 0.036071777343750000, 0.032287597656250000, 2, 61.0, 1536
C, fibonacci_linear_O2_10, 13, 0.048767089843750000, 0.035034179687500000, 2, 61.0, 1536
C, fibonacci_linear_O2_10, 13, 0.055358886718750000, 0.052612304687500000, 3, 61.0, 1536
C, fibonacci_linear_O2_10, 13, 0.051757812500000000, 0.041259765625000000, 2, 61.0, 1536
C, fibonacci_linear_O2_10, 13, 0.053588867187500000, 0.042358398437500000, 4, 61.0, 1536
C, fibonacci_linear_O2_10, 13, 0.050537109375000000, 0.039733886718750000, 3, 61.0, 1536
C, fibonacci_linear_O0_30, 13, 0.054138183593750000, 0.041625976562500000, 3, 61.0, 1536
C, fibonacci_linear_O0_30, 13, 0.056152343750000000, 0.046264648437500000, 2, 61.0, 1536
C, fibonacci_linear_O0_30, 13, 0.033691406250000000, 0.030090332031250000, 2, 61.0, 1536
C, fibonacci_linear_O0_30, 13, 0.038269042968750000, 0.030395507812500000, 3, 61.0, 1536
C, fibonacci_linear_O0_30, 13, 0.053283691406250000, 0.040710449218750000, 2, 61.0, 1536
C, fibonacci_linear_O0_30, 13, 0.049499511718750000, 0.022399902343750000, 10, 58.8, 1536
C, fibonacci_linear_O0_30, 13, 0.069091796875000000, 0.031311035156250000, 11, 58.8, 1536
C, fibonacci_linear_O0_30, 13, 0.044799804687500000, 0.033996582031250000, 2, 58.8, 1536
C, fibonacci_linear_O0_30, 13, 0.045410156250000000, 0.032897949218750000, 2, 58.8, 1536
C, fibonacci_linear_O0_30, 13, 0.040832519531250000, 0.027648925781250000, 2, 58.8, 1536
C, fibonacci_linear_O2_30, 13, 0.033874511718750000, 0.032348632812500000, 2, 58.8, 1536
C, fibonacci_linear_O2_30, 13, 0.089172363281250000, 0.059875488281250000, 4, 58.8, 1536
C, fibonacci_linear_O2_30, 13, 0.032165527343750000, 0.034301757812500000, 2, 58.8, 1536
C, fibonacci_linear_O2_30, 13, 0.035888671875000000, 0.033142089843750000, 2, 58.8, 1536
C, fibonacci_linear_O2_30, 13, 0.062011718750000000, 0.047546386718750000, 2, 58.8, 1536
C, fibonacci_linear_O2_30, 13, 0.033630371093750000, 0.031738281250000000, 2, 58.8, 1536
C, fibonacci_linear_O2_30, 13, 0.041992187500000000, 0.039550781250000000, 3, 58.8, 1536
C, fibonacci_linear_O2_30, 13, 0.072814941406250000, 0.043457031250000000, 4, 58.8, 1536
C, fibonacci_linear_O2_30, 13, 0.075622558593750000, 0.056640625000000000, 3, 58.8, 1536
C, fibonacci_linear_O2_30, 13, 0.031616210937500000, 0.031005859375000000, 2, 58.8, 1536
C, fibonacci_linear_O0_40, 13, 0.047546386718750000, 0.034729003906250000, 3, 58.8, 1536
C, fibonacci_linear_O0_40, 13, 0.028442382812500000, 0.028991699218750000, 2, 58.8, 1536
C, fibonacci_linear_O0_40, 13, 0.045776367187500000, 0.035644531250000000, 3, 58.8, 1536
C, fibonacci_linear_O0_40, 13, 0.054626464843750000, 0.045349121093750000, 2, 58.8, 1536
C, fibonacci_linear_O0_40, 13, 0.030700683593750000, 0.029907226562500000, 2, 58.8, 1536
C, fibonacci_linear_O0_40, 13, 0.045532226562500000, 0.033203125000000000, 3, 58.8, 1536
C, fibonacci_linear_O0_40, 13, 0.045288085937500000, 0.034545898437500000, 2, 58.8, 1536
C, fibonacci_linear_O0_40, 13, 0.043640136718750000, 0.027709960937500000, 2, 65.2, 1536
C, fibonacci_linear_O0_40, 13, 0.031860351562500000, 0.028320312500000000, 2, 60.0, 1536
C, fibonacci_linear_O0_40, 13, 0.029968261718750000, 0.028808593750000000, 2, 60.0, 1536
C, fibonacci_linear_O2_40, 13, 0.041442871093750000, 0.028137207031250000, 2, 60.0, 1536
C, fibonacci_linear_O2_40, 13, 0.044799804687500000, 0.027832031250000000, 2, 60.0, 1536
C, fibonacci_linear_O2_40, 13, 0.051391601562500000, 0.035339355468750000, 2, 60.0, 1536
C, fibonacci_linear_O2_40, 13, 0.058532714843750000, 0.038024902343750000, 3, 60.0, 1536
C, fibonacci_linear_O2_40, 13, 0.047912597656250000, 0.033142089843750000, 2, 60.0, 1536
C, fibonacci_linear_O2_40, 13, 0.054016113281250000, 0.037170410156250000, 2, 60.0, 1536
C, fibonacci_linear_O2_40, 13, 0.044250488281250000, 0.032104492187500000, 2, 60.0, 1536
C, fibonacci_linear_O2_40, 13, 0.049560546875000000, 0.030456542968750000, 3, 60.0, 1536
C, fibonacci_linear_O2_40, 13, 0.043395996093750000, 0.041564941406250000, 3, 60.0, 1536
C, fibonacci_linear_O2_40, 13, 0.042541503906250000, 0.025390625000000000, 2, 60.0, 1536
C, fibonacci_recursive_O0_10, 13, 0.041320800781250000, 0.028442382812500000, 2, 60.0, 1536
C, fibonacci_recursive_O0_10, 13, 0.061584472656250000, 0.053894042968750000, 3, 60.0, 1536
C, fibonacci_recursive_O0_10, 13, 0.023376464843750000, 0.024475097656250000, 2, 60.0, 1536
C, fibonacci_recursive_O0_10, 13, 0.035156250000000000, 0.032165527343750000, 2, 60.0, 1536
C, fibonacci_recursive_O0_10, 13, 0.033691406250000000, 0.031311035156250000, 2, 60.0, 1536
C, fibonacci_recursive_O0_10, 13, 0.050842285156250000, 0.045898437500000000, 4, 60.0, 1536
C, fibonacci_recursive_O0_10, 13, 0.056213378906250000, 0.042358398437500000, 2, 60.0, 1536
C, fibonacci_recursive_O0_10, 13, 0.046630859375000000, 0.035278320312500000, 2, 60.0, 1536
C, fibonacci_recursive_O0_10, 13, 0.035583496093750000, 0.026428222656250000, 3, 60.0, 1536
C, fibonacci_recursive_O0_10, 13, 0.055603027343750000, 0.038635253906250000, 2, 60.0, 1536
C, fibonacci_recursive_O2_10, 13, 0.087219238281250000, 0.039428710937500000, 14, 58.8, 1536
C, fibonacci_recursive_O2_10, 13, 0.080078125000000000, 0.042175292968750000, 15, 58.8, 1536
C, fibonacci_recursive_O2_10, 13, 0.051269531250000000, 0.028564453125000000, 11, 58.8, 1408
C, fibonacci_recursive_O2_10, 13, 0.053771972656250000, 0.029724121093750000, 11, 58.8, 1536
C, fibonacci_recursive_O2_10, 13, 0.143493652343750000, 0.058105468750000000, 14, 58.8, 1536
C, fibonacci_recursive_O2_10, 13, 0.090026855468750000, 0.041015625000000000, 14, 58.8, 1536
C, fibonacci_recursive_O2_10, 13, 0.112060546875000000, 0.051269531250000000, 17, 58.8, 1536
C, fibonacci_recursive_O2_10, 13, 0.068969726562500000, 0.038146972656250000, 13, 58.8, 1536
C, fibonacci_recursive_O2_10, 13, 0.119750976562500000, 0.060119628906250000, 20, 58.8, 1536
C, fibonacci_recursive_O2_10, 13, 0.308959960937500000, 0.152038574218750000, 56, 58.8, 1536
C, fibonacci_recursive_O0_30, 13, 0.644531250000000000, 0.339416503906250000, 109, 59.2, 1408
C, fibonacci_recursive_O0_30, 13, 0.599609375000000000, 0.326477050781250000, 105, 59.2, 1408
C, fibonacci_recursive_O0_30, 13, 0.914733886718750000, 0.523620605468750000, 182, 59.2, 1408
C, fibonacci_recursive_O0_30, 13, 0.784179687500000000, 0.408630371093750000, 138, 59.2, 1536
C, fibonacci_recursive_O0_30, 13, 0.669921875000000000, 0.359313964843750000, 124, 59.2, 1536
C, fibonacci_recursive_O0_30, 13, 0.447509765625000000, 0.240722656250000000, 72, 59.2, 1408
C, fibonacci_recursive_O0_30, 13, 0.424072265625000000, 0.216979980468750000, 66, 59.2, 1408
C, fibonacci_recursive_O0_30, 13, 0.467712402343750000, 0.235656738281250000, 75, 59.2, 1536
C, fibonacci_recursive_O0_30, 13, 0.435180664062500000, 0.216674804687500000, 64, 59.2, 1408
C, fibonacci_recursive_O0_30, 13, 0.431518554687500000, 0.183715820312500000, 59, 59.2, 1408
C, fibonacci_recursive_O2_30, 13, 0.151306152343750000, 0.059509277343750000, 27, 59.2, 1536
C, fibonacci_recursive_O2_30, 13, 0.253173828125000000, 0.102600097656250000, 30, 59.2, 1536
C, fibonacci_recursive_O2_30, 13, 0.165222167968750000, 0.068115234375000000, 26, 59.2, 1536
C, fibonacci_recursive_O2_30, 13, 0.144775390625000000, 0.066101074218750000, 26, 59.2, 1536
C, fibonacci_recursive_O2_30, 13, 0.161743164062500000, 0.070739746093750000, 28, 59.2, 1408
C, fibonacci_recursive_O2_30, 13, 0.161010742187500000, 0.083679199218750000, 30, 58.2, 1536
C, fibonacci_recursive_O2_30, 13, 0.216247558593750000, 0.112854003906250000, 35, 58.2, 1536
C, fibonacci_recursive_O2_30, 13, 0.176452636718750000, 0.086303710937500000, 28, 58.2, 1536
