Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, bubble_sort_double_O2_1000, -1, 0.093872070312500000, 0.039245605468750000,  ,  , 16, 32.0, 1280
C, bubble_sort_double_O2_1000, -1, 0.129760742187500000, 0.046875000000000000,  ,  , 16, 32.0, 1280
C, bubble_sort_double_O2_1000, -1, 0.093078613281250000, 0.036376953125000000,  ,  , 18, 32.0, 1280
C, bubble_sort_double_O2_1000, -1, 0.079284667968750000, 0.030517578125000000,  ,  , 14, 32.0, 1280
C, bubble_sort_double_O2_1000, -1, 0.082885742187500000, 0.031738281250000000,  ,  , 15, 32.0, 1280
C, bubble_sort_double_O2_1000, -1, 0.076477050781250000, 0.031311035156250000,  ,  , 14, 32.0, 1280
C, bubble_sort_double_O2_1000, -1, 0.080627441406250000, 0.033874511718750000,  ,  , 14, 32.0, 1280
C, bubble_sort_double_O2_1000, -1, 0.093872070312500000, 0.039306640625000000,  ,  , 16, 32.0, 1280
C, bubble_sort_double_O2_1000, -1, 0.085510253906250000, 0.037414550781250000,  ,  , 15, 32.0, 1280
C, bubble_sort_double_O2_1000, -1, 0.090209960937500000, 0.034423828125000000,  ,  , 15, 32.0, 1280
