Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, counting_sort_double_O2_1000, -1, 0.072448730468750000, 0.030883789062500000,  ,  , 13, 31.2, 1408
C, counting_sort_double_O2_1000, -1, 0.063964843750000000, 0.029296875000000000,  ,  , 13, 31.2, 1408
C, counting_sort_double_O2_1000, -1, 0.077819824218750000, 0.032043457031250000,  ,  , 13, 31.2, 1408
C, counting_sort_double_O2_1000, -1, 0.068603515625000000, 0.028137207031250000,  ,  , 12, 31.2, 1408
C, counting_sort_double_O2_1000, -1, 0.060729980468750000, 0.024169921875000000,  ,  , 11, 31.2, 1408
C, counting_sort_double_O2_1000, -1, 0.068481445312500000, 0.027465820312500000,  ,  , 12, 31.2, 1408
C, counting_sort_double_O2_1000, -1, 0.054565429687500000, 0.022888183593750000,  ,  , 11, 31.2, 1408
C, counting_sort_double_O2_1000, -1, 0.095947265625000000, 0.037292480468750000,  ,  , 13, 31.2, 1408
C, counting_sort_double_O2_1000, -1, 0.072692871093750000, 0.028076171875000000,  ,  , 12, 31.2, 1408
C, counting_sort_double_O2_1000, -1, 0.227294921875000000, 0.100158691406250000,  ,  , 41, 31.2, 1408
