Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibonacci_linear_O2_40, -1, 0.067810058593750000, 0.029968261718750000,  ,  , 13, 34.5, 1536
C, fibonacci_linear_O2_40, -1, 0.056030273437500000, 0.026794433593750000,  ,  , 12, 34.5, 1536
C, fibonacci_linear_O2_40, -1, 0.065124511718750000, 0.027954101562500000,  ,  , 12, 34.5, 1536
C, fibonacci_linear_O2_40, -1, 0.059753417968750000, 0.029357910156250000,  ,  , 14, 34.5, 1536
C, fibonacci_linear_O2_40, -1, 0.069641113281250000, 0.026306152343750000,  ,  , 14, 34.5, 1536
C, fibonacci_linear_O2_40, -1, 0.077941894531250000, 0.032531738281250000,  ,  , 14, 34.5, 1536
C, fibonacci_linear_O2_40, -1, 0.054321289062500000, 0.026977539062500000,  ,  , 11, 34.5, 1536
C, fibonacci_linear_O2_40, -1, 0.087463378906250000, 0.039978027343750000,  ,  , 16, 34.5, 1536
C, fibonacci_linear_O2_40, -1, 0.065490722656250000, 0.033081054687500000,  ,  , 14, 34.5, 1536
C, fibonacci_linear_O2_40, -1, 0.091491699218750000, 0.038879394531250000,  ,  , 18, 34.5, 1536
