Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, merge_sort_double_O2_1000, -1, 0.057495117187500000, 0.021484375000000000,  ,  , 9, 32.8, 1408
C, merge_sort_double_O2_1000, -1, 0.062622070312500000, 0.026794433593750000,  ,  , 11, 32.8, 1408
C, merge_sort_double_O2_1000, -1, 0.152587890625000000, 0.047363281250000000,  ,  , 12, 32.8, 1408
C, merge_sort_double_O2_1000, -1, 0.073730468750000000, 0.028625488281250000,  ,  , 12, 32.8, 1408
C, merge_sort_double_O2_1000, -1, 0.075378417968750000, 0.029479980468750000,  ,  , 11, 32.8, 1408
C, merge_sort_double_O2_1000, -1, 0.078125000000000000, 0.033691406250000000,  ,  , 14, 32.8, 1408
C, merge_sort_double_O2_1000, -1, 0.062194824218750000, 0.027587890625000000,  ,  , 11, 32.8, 1408
C, merge_sort_double_O2_1000, -1, 0.056457519531250000, 0.027587890625000000,  ,  , 12, 32.8, 1408
C, merge_sort_double_O2_1000, -1, 0.052368164062500000, 0.022338867187500000,  ,  , 11, 32.8, 1408
C, merge_sort_double_O2_1000, -1, 0.064697265625000000, 0.027221679687500000,  ,  , 12, 32.8, 1408
